Drug,Number_of_Genes,Target_Genes,Sources
EPINEPHRINE BITARTRATE,1,ADRA1A,ChEMBL
EPINEPHRINE,1,ADRA1A,TEND
EPIGALLOCATECHIN GALLATE,1,APOB,NCI
EPHEDRINE SULFATE,1,ADRA1A,ChEMBL
EPHEDRINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
EPHEDRINE,1,ADRA1A,TEND
EDOXABAN,1,APOB,PharmGKB
ECONAZOLE NITRATE,1,NPY2R,DTC
DROXIDOPA,1,ADRA1A,ChEMBL
DRONEDARONE,1,ADRA1A,TEND
DRONABINOL,1,GFAP,NCI
DOXAZOSIN MESYLATE,1,ADRA1A,"ChEMBL, TEND"
DOTINURAD,1,SLC22A12,"ChEMBL, GuideToPharmacology"
DOPAMINE,1,ADRA1A,PharmGKB
DIPIVEFRIN HYDROCHLORIDE,1,ADRA1A,ChEMBL
DIHYDROSPHINGOSINE,1,TRPM3,GuideToPharmacology
DICLOFENAC SODIUM,1,TRPM3,GuideToPharmacology
DICHLORPHENAMIDE,1,CA4,GuideToPharmacology
DEXTROAMPHETAMINE SULFATE,1,ADRA1A,TEND
DEXFOSFOSERINE,1,GRM4,GuideToPharmacology
DEMECOLCINE,1,GFAP,NCI
"ERGOLOID MESYLATES, USP",1,ADRA1A,TEND
ERGOTAMINE TARTRATE,1,ADRA1A,ChEMBL
ETHOXZOLAMIDE,1,CA4,ChEMBL
GENISTEIN,1,GFAP,NCI
HEPARIN,1,APOB,NCI
HEAT (BE2254),1,ADRA1A,GuideToPharmacology
HCG,1,LHCGR,GuideToPharmacology
HALOTHANE,1,TRPM3,GuideToPharmacology
GXTX-1E,1,KCNB1,GuideToPharmacology
GUANIDINE HYDROCHLORIDE,1,KCNB1,ChEMBL
GTX-758,1,LHCGR,TdgClinicalTrial
GOSERELIN,1,LHCGR,TEND
"GONADOTROPIN, CHORIONIC",1,LHCGR,TTD
GLUTAMIC ACID,1,GRM4,GuideToPharmacology
GEMFIBROZIL,1,LEP,NCI
FADROZOLE HYDROCHLORIDE,1,GFAP,NCI
GD3+,1,TRPM3,GuideToPharmacology
FREUND'S ADJUVANT,1,GFAP,NCI
FP0429,1,GRM4,GuideToPharmacology
FOLLICLE STIMULATING HORMONE,1,LHCGR,TEND
FOLIGLURAX,1,GRM4,"ChEMBL, GuideToPharmacology"
FOLIC ACID,1,LEP,NCI
FLUOROURACIL,1,CDC25C,NCI
FENOFIBRATE MICRONIZED,1,APOB,PharmGKB
FELODIPINE,1,LEP,NCI
FAT EMULSION,1,LEP,NCI
[PRO34]PYY (HUMAN),1,NPY2R,GuideToPharmacology
