Gene,Drug,Interaction,Source
PROC,ESTRADIOL VALERATE,Unknown,FDA
PROC,COMPOUND 37 [PMID: 24418773],inhibitor,GuideToPharmacology
PROC,ANCROD,Unknown,TTD
PROC,"SYNTHETIC CONJUGATED ESTROGENS, A",Unknown,PharmGKB
PROC,AVATROMBOPAG,Unknown,PharmGKB
PROC,3K3A-ACTIVATED PROTEIN C,Unknown,TTD
PROC,SODIUM TETRADECYL SULFATE,Unknown,TEND
ADCYAP1R1,"[125I]VIP (HUMAN, MOUSE, RAT)",agonist,GuideToPharmacology
ADCYAP1R1,[125I][AC-HIS1]PACAP-27,agonist,GuideToPharmacology
ADCYAP1R1,N-STEARYL-[NLE17] NEUROTENSIN-(6-11)/VIP-(7-28),inhibitor,GuideToPharmacology
ADCYAP1R1,RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1,Unknown,NCI
ADCYAP1R1,PACAP-27,agonist,GuideToPharmacology
ADCYAP1R1,BAY 55-9837,agonist,GuideToPharmacology
ADCYAP1R1,MK-0893,inhibitor,GuideToPharmacology
ADCYAP1R1,M65,inhibitor,GuideToPharmacology
ADCYAP1R1,"INSULIN, REGULAR, HUMAN",Unknown,NCI
ADCYAP1R1,MAXADILAN,agonist,GuideToPharmacology
ADCYAP1R1,[ARG16]CHICKEN SECRETIN,agonist,GuideToPharmacology
ADCYAP1R1,"[LYS15,ARG16,LEU27]VIP-(1-7)/GRF-(8-27)-NH2",agonist,GuideToPharmacology
ADCYAP1R1,NALOXONE HYDROCHLORIDE,Unknown,NCI
ADCYAP1R1,[125I]PACAP-27,agonist,GuideToPharmacology
ADCYAP1R1,PACAP-38,agonist,GuideToPharmacology
ADCYAP1R1,RO 25-1553,agonist,GuideToPharmacology
ADCYAP1R1,PG 99-465,agonist,GuideToPharmacology
ADCYAP1R1,PG 97-269,inhibitor,GuideToPharmacology
ADCYAP1R1,VIP,agonist,GuideToPharmacology
ADCYAP1R1,"[ALA11,22,28]VIP",agonist,GuideToPharmacology
ADCYAP1R1,RECOMBINANT INTERLEUKIN-6,Unknown,NCI
GRM4,VU0080241,modulator,GuideToPharmacology
GRM4,"(R,S)-4-PPG",agonist,GuideToPharmacology
GRM4,VU0364770,modulator,DTC
GRM4,FP0429,agonist,GuideToPharmacology
GRM4,FOLIGLURAX,modulator,GuideToPharmacology
GRM4,L-AP4,agonist,GuideToPharmacology
GRM4,COMPOUND 1 [PMID: 22465637],modulator,GuideToPharmacology
GRM4,COMPOUND 7 [PMID: 20638279],modulator,GuideToPharmacology
GRM4,DEXFOSFOSERINE,agonist,GuideToPharmacology
GRM4,GLUTAMIC ACID,agonist,GuideToPharmacology
GRM4,CHEMBL:CHEMBL559271,Unknown,DTC
GRM4,ADX88178,modulator,GuideToPharmacology
GRM4,CHEMBL:CHEMBL549330,Unknown,DTC
GRM4,VU0400195,modulator,GuideToPharmacology
GRM4,FOLIGLURAX,positive modulator,ChEMBL
GRM4,COMPOUND 11 [PMID: 20638279],modulator,GuideToPharmacology
GRM4,VU0359516,modulator,GuideToPharmacology
GRM4,VU0092145,modulator,GuideToPharmacology
GRM4,PHCCC,modulator,GuideToPharmacology
GRM4,VU0361737,modulator,GuideToPharmacology
GRM4,VU0155041,modulator,GuideToPharmacology
GRM4,VU0001171,modulator,GuideToPharmacology
GRM4,MPEP,modulator,GuideToPharmacology
